iter	Passed	Remaining
132	4942	13638
133	4983	13610
134	5019	13572
135	5053	13526
136	5086	13477
137	5116	13422
138	5151	13377
139	5228	13444
140	5283	13452
141	5324	13422
142	5353	13364
143	5389	13324
144	5423	13279
145	5461	13241
146	5490	13183
147	5524	13139
148	5556	13090
149	5593	13050
150	5625	13001
151	5658	12956
152	5690	12906
153	5727	12868
154	5763	12828
155	5798	12787
156	5832	12741
157	5863	12691
158	5895	12644
159	5930	12601
160	5961	12551
161	5995	12509
162	6026	12458
163	6056	12408
164	6087	12359
165	6117	12309
166	6152	12268
167	6187	12228
168	6227	12196
169	6259	12150
170	6290	12102
171	6324	12060
172	6355	12013
173	6392	11976
174	6429	11940
175	6464	11900
176	6497	11856
177	6531	11816
178	6563	11770
179	6596	11726
180	6628	11681
181	6663	11642
182	6697	11601
183	6729	11556
184	6763	11516
185	6799	11478
186	6832	11435
187	6860	11386
188	6890	11338
189	6925	11299
190	6957	11256
191	6992	11216
192	7023	11171
193	7055	11129
194	7086	11084
195	7115	11036
196	7154	11003
197	7184	10958
198	7226	10929
199	7262	10893
200	7300	10860
201	7426	10956
202	7465	10922
203	7503	10888
204	7537	10846
205	7571	10806
206	7606	10766
207	7640	10725
208	7678	10691
209	7711	10649
210	7745	10608
211	7784	10575
212	7821	10539
213	7851	10492
214	7880	10445
215	7909	10400
216	7949	10366
217	7980	10323
218	8016	10285
219	8047	10242
220	8079	10199
221	8126	10175
222	8161	10137
223	8191	10093
224	8225	10053
225	8263	10018
226	8292	9973
227	8326	9933
228	8362	9895
229	8393	9853
230	8431	9818
231	8470	9784
232	8509	9751
233	8539	9707
234	8570	9664
235	8609	9630
236	8647	9596
237	8680	9555
238	8712	9514
239	8743	9472
240	8782	9437
241	8815	9398
242	8851	9361
243	8881	9318
244	8912	9276
245	8949	9240
246	8980	9198
247	9016	9162
248	9051	9124
249	9082	9082
250	9118	9046
251	9153	9008
252	9188	8970
253	9221	8931
254	9255	8892
255	9293	8858
256	9326	8818
257	9365	8784
258	9397	8744
259	9434	8708
260	9470	8672
261	9562	8686
262	9607	8657
263	9649	8626
264	9681	8585
265	9718	8549
266	9750	8508
267	9787	8472
268	9819	8432
269	9858	8398
270	9891	8358
271	9925	8319
272	9956	8279
273	9991	8240
274	10032	8208
275	10066	8170
276	10096	8128
277	10133	8092
278	10163	8050
279	10194	8009
280	10223	7967
281	10252	7925
282	10289	7889
283	10320	7849
284	10345	7804
285	10377	7765
286	10410	7726
287	10444	7688
288	10481	7652
289	10518	7617
290	10555	7581
291	10586	7540
292	10617	7501
293	10649	7461
294	10684	7424
295	10720	7388
296	10753	7350
297	10787	7312
298	10827	7278
299	10860	7240
300	10891	7200
301	10929	7165
302	10975	7136
303	11011	7099
304	11050	7065
305	11082	7026
306	11112	6985
307	11141	6945
308	11182	6912
309	11224	6879
310	11256	6840
311	11299	6808
312	11333	6771
313	11363	6730
314	11397	6693
315	11428	6654
316	11464	6618
317	11500	6582
318	11532	6543
319	11564	6504
320	11586	6460
321	11659	6445
322	11716	6420
323	11752	6384
324	11788	6347
325	11825	6311
326	11863	6276
327	11897	6238
328	11933	6202
329	11969	6165
330	12005	6129
331	12040	6092
332	12075	6055
333	12106	6016
334	12138	5978
335	12168	5939
336	12192	5897
337	12223	5858
338	12254	5819
339	12282	5780
340	12326	5747
341	12357	5708
342	12391	5671
343	12422	5633
344	12454	5595
345	12485	5556
346	12525	5522
347	12554	5483
348	12583	5444
349	12612	5405
350	12648	5369
351	12687	5334
352	12721	5297
353	12756	5261
354	12796	5226
355	12829	5189
356	12863	5152
357	12894	5114
358	12927	5077
359	12957	5038
360	12991	5002
361	13038	4970
362	13075	4934
363	13104	4896
364	13137	4859
365	13169	4821
366	13205	4785
367	13239	4749
368	13276	4713
369	13319	4679
370	13353	4643
371	13388	4606
372	13425	4571
373	13459	4534
374	13492	4497
375	13529	4461
376	13559	4423
377	13591	4386
378	13627	4350
379	13658	4313
380	13694	4277
381	13729	4241
382	13779	4209
383	13855	4185
384	13891	4149
385	13926	4112
386	13957	4075
387	13993	4039
388	14029	4003
389	14067	3967
390	14100	3930
391	14144	3896
392	14175	3859
393	14209	3822
394	14241	3785
395	14269	3747
396	14301	3710
397	14340	3675
398	14371	3637
399	14404	3601
400	14439	3564
401	14477	3529
402	14522	3495
403	14557	3459
404	14590	3422
405	14622	3385
406	14657	3349
407	14691	3312
408	14725	3276
409	14760	3240
410	14796	3204
411	14832	3168
412	14868	3132
413	14903	3095
414	14934	3058
415	14963	3021
416	14998	2985
417	15037	2950
418	15071	2913
419	15103	2876
420	15134	2839
421	15162	2802
422	15193	2765
423	15224	2728
424	15255	2692
425	15291	2656
426	15330	2620
427	15369	2585
428	15407	2550
429	15440	2513
430	15474	2477
431	15510	2441
432	15550	2406
433	15582	2369
434	15613	2333
435	15640	2295
436	15670	2259
437	15709	2223
438	15746	2188
439	15777	2151
440	15808	2114
441	15840	2078
442	15876	2042
443	15947	2011
444	16010	1978
445	16049	1943
446	16084	1907
447	16119	1871
448	16156	1835
449	16187	1798
450	16219	1762
451	16252	1725
452	16292	1690
453	16325	1654
454	16364	1618
455	16401	1582
456	16433	1546
457	16468	1510
458	16501	1473
459	16537	1438
460	16574	1402
461	16605	1365
462	16635	1329
463	16665	1292
464	16695	1256
465	16731	1220
466	16762	1184
467	16794	1148
468	16824	1112
469	16856	1075
470	16892	1040
471	16928	1004
472	16966	968
473	17000	932
474	17037	896
475	17070	860
476	17109	824
477	17144	789
478	17174	752
479	17205	716
480	17237	680
481	17266	644
482	17301	608
483	17332	572
484	17367	537
485	17406	501
486	17436	465
487	17470	429
488	17500	393
489	17539	357
490	17574	322
491	17606	286
492	17635	250
493	17672	214
494	17705	178
495	17745	143
496	17779	107
497	17810	71
498	17843	35
499	17873	0
