iter	MAE	RMSE
225	28.69944526	52.83884012
226	28.58529201	52.69776925
227	28.4474884	52.55339125
228	28.42030112	52.44048482
229	28.36689912	52.3605906
230	28.24456809	52.19990923
231	28.21260801	52.09881941
232	28.09028044	51.93863579
233	28.0577926	51.81872734
234	28.03667555	51.70701808
235	27.92225734	51.58256155
236	27.87888042	51.49611257
237	27.85070429	51.3930293
238	27.84181043	51.29679134
239	27.8299424	51.21121273
240	27.80375443	51.10847518
241	27.64808341	50.86916149
242	27.60166653	50.78361995
243	27.59322078	50.75337675
244	27.50534029	50.6138851
245	27.36957179	50.41395494
246	27.28822838	50.25167099
247	27.27927891	50.1863924
248	27.26986559	50.12331872
249	27.25602811	50.03158175
250	27.09287924	49.82715858
251	27.02894617	49.6665236
252	27.01428695	49.58913071
253	26.93211849	49.482524
254	26.83141	49.31409315
255	26.78013039	49.1921847
256	26.77269305	49.12790454
257	26.67448708	49.00323395
258	26.64272127	48.88902081
259	26.62740001	48.81314057
260	26.6041184	48.74421215
261	26.54818796	48.60193301
262	26.52814256	48.5090161
263	26.52059379	48.43359643
264	26.51447755	48.37109726
265	26.48109769	48.24558951
266	26.46278713	48.1816512
267	26.44075349	48.07427129
268	26.37200905	47.94926235
269	26.35811475	47.88619986
270	26.1847519	47.66757764
271	26.04060211	47.5011098
272	26.02126075	47.41220545
273	26.0064645	47.32788017
274	25.89456611	47.18183371
275	25.89153206	47.1365023
276	25.88524524	47.08607219
277	25.81296718	46.95598998
278	25.80905845	46.91505627
279	25.79565435	46.85030875
280	25.7680734	46.79108788
281	25.74975274	46.72962418
282	25.63136945	46.54461159
283	25.6167909	46.47229832
284	25.6140253	46.43392286
285	25.56798464	46.33032032
286	25.55376505	46.26941094
287	25.5431687	46.22446663
288	25.52404116	46.1579207
289	25.49417488	46.0515372
290	25.48794306	45.99547901
291	25.48472221	45.96125354
292	25.40901062	45.83460338
293	25.37678342	45.72260975
294	25.25704913	45.57829157
295	25.25144695	45.52349158
296	25.18273232	45.41112699
297	25.17336826	45.34086019
298	25.15557846	45.2669476
299	25.08629668	45.12941871
300	24.99587565	44.97063618
301	24.99037335	44.92015987
302	24.95621836	44.84205799
303	24.90661268	44.69230537
304	24.82373252	44.57444787
305	24.75582204	44.44886012
306	24.68783026	44.3452173
307	24.67146145	44.29976132
308	24.58399852	44.15874222
309	24.54186789	44.05928227
310	24.44366361	43.93331795
311	24.40399138	43.84271417
312	24.29742539	43.67237958
313	24.29151768	43.63095067
314	24.21293468	43.46337892
315	24.18203095	43.38951768
316	24.0556986	43.20983608
317	24.03817927	43.14561943
318	23.95401387	42.99104948
319	23.93674949	42.92003965
320	23.93517431	42.8935389
321	23.91268734	42.82102478
322	23.90319055	42.79541521
323	23.89115088	42.73510384
324	23.87716928	42.65955885
325	23.87192781	42.62246692
326	23.78619875	42.52488977
327	23.69543868	42.35097559
328	23.68487171	42.29176023
329	23.65023212	42.20183636
330	23.60214888	42.1254583
331	23.589455	42.07275124
332	23.56015909	41.97724857
333	23.51491399	41.90194646
334	23.41287091	41.74501868
335	23.38565694	41.68310939
336	23.38387967	41.65742855
337	23.36980442	41.59899298
338	23.33201093	41.51003763
339	23.28740606	41.40500251
340	23.24459164	41.33540888
341	23.11651776	41.16766321
342	23.10473432	41.11661733
343	23.00559057	40.96062863
344	22.97579069	40.88720643
345	22.94987999	40.82578318
346	22.92835037	40.74701022
347	22.82897321	40.60881072
348	22.77771866	40.50614233
349	22.75066697	40.43334291
350	22.74240177	40.39998275
351	22.70227028	40.33845751
352	22.66972317	40.25280891
353	22.63188077	40.19073463
354	22.59809642	40.12451799
355	22.58946864	40.08000926
356	22.58134374	40.02800597
357	22.50213141	39.90243187
358	22.42947747	39.765135
359	22.41913813	39.73470025
360	22.39594223	39.6958755
361	22.28756585	39.56649167
362	22.2788616	39.53991409
363	22.27042312	39.49576662
364	22.17780956	39.38303988
365	22.1409882	39.32617284
366	22.13329135	39.28281157
367	22.0869232	39.19002352
368	21.98698731	39.06783598
369	21.94242136	38.98047341
370	21.92132026	38.93131464
371	21.8993268	38.87448677
372	21.83206031	38.74962479
373	21.73936863	38.63232366
374	21.71172861	38.54830185
375	21.70674266	38.52017367
376	21.64431171	38.41411925
377	21.63775667	38.39150991
378	21.61044293	38.32124934
379	21.5482463	38.22023017
380	21.45483909	38.11580708
381	21.44616414	38.08831911
382	21.35453302	37.98591067
383	21.342975	37.94133249
384	21.30450458	37.86894766
385	21.27903639	37.81887212
386	21.26263305	37.78308975
387	21.25101286	37.7381928
388	21.24551002	37.71771239
389	21.23442732	37.67414225
390	21.20882433	37.60887391
391	21.13067187	37.51361217
392	21.07153491	37.41791348
393	21.05942583	37.37705102
394	21.04767496	37.33735609
395	21.03713035	37.28485562
396	21.02741844	37.2390086
397	20.952748	37.14682271
398	20.91948384	37.07785142
399	20.89462041	37.00345799
400	20.86338288	36.95295989
401	20.78635846	36.86528026
402	20.76344012	36.81218298
403	20.74726665	36.764227
404	20.72936844	36.72325914
405	20.6570836	36.63147137
406	20.65200662	36.61294523
407	20.58439594	36.53213523
408	20.52989622	36.44299596
409	20.52495474	36.42680321
410	20.50330866	36.35769072
411	20.43535055	36.26273059
412	20.41916232	36.22482747
413	20.39410755	36.16339599
414	20.37109741	36.10145342
415	20.35712702	36.05125064
416	20.34225609	35.99201146
417	20.31890233	35.93364776
418	20.29376146	35.89684014
419	20.23404557	35.8006245
420	20.21214914	35.75438684
421	20.18278291	35.69705701
422	20.12475707	35.60917139
423	20.08274392	35.5310769
424	20.02152729	35.46449762
425	20.0076983	35.42206666
426	20.00016556	35.40366727
427	19.99620965	35.38964661
428	19.98912083	35.35552693
429	19.97691984	35.31512144
430	19.9271129	35.24490522
431	19.91620696	35.20719768
432	19.8825885	35.13634569
433	19.87868303	35.1226978
434	19.85901843	35.07109786
435	19.8461923	35.03163753
436	19.83903771	35.00307103
437	19.77482451	34.91257942
438	19.74679211	34.85173581
439	19.7263764	34.80805343
440	19.69900711	34.75926327
441	19.63973547	34.68077497
442	19.58349453	34.60847291
443	19.55740226	34.56158399
444	19.53966368	34.51934576
445	19.53001421	34.4856634
446	19.49633027	34.42109537
447	19.4731841	34.36694996
448	19.46326034	34.34308796
449	19.4365848	34.29681922
450	19.4210864	34.24273716
451	19.41757531	34.23065933
452	19.4089235	34.19602602
453	19.40543665	34.18423985
454	19.37955467	34.13984501
455	19.3300337	34.06676764
456	19.30046335	34.00123673
457	19.27972272	33.96301191
458	19.23650103	33.89331155
459	19.2223229	33.84226136
460	19.21305242	33.80153809
461	19.20359352	33.77029693
462	19.19000404	33.72106344
463	19.17820101	33.68700598
464	19.16739312	33.66405906
465	19.13957116	33.60171806
466	19.13069438	33.57176713
467	19.12468454	33.54439426
468	19.11867782	33.53059439
469	19.11541101	33.52002063
470	19.11246239	33.50966804
471	19.08817944	33.46499139
472	19.030099	33.3809275
473	18.97563981	33.31145024
474	18.9665877	33.28434953
475	18.94731242	33.24674699
476	18.93249674	33.21582762
477	18.92960461	33.20578301
478	18.91864187	33.17086987
479	18.91567555	33.16108851
480	18.90722218	33.12460245
481	18.88114756	33.08365901
482	18.84734277	33.01970504
483	18.80138898	32.94754562
484	18.79522536	32.92827704
485	18.78384865	32.88306445
486	18.76382756	32.83822066
487	18.7611919	32.82883263
488	18.75735154	32.80614897
489	18.75010823	32.77551396
490	18.74408572	32.75492191
491	18.73557842	32.72760137
492	18.71722319	32.70115583
493	18.70952775	32.66830242
494	18.68670966	32.6315791
495	18.67544343	32.58833808
496	18.66381461	32.55950337
497	18.63964169	32.50578627
498	18.63302408	32.47796672
499	18.62931248	32.45728925
